index,job,skill
0,웹개발,Spring Linux TensorFlow Docker Scala PHP AngularJS HTML Jenkins PyTorch GraphQL React닷JS Ruby App Node닷js Data NoSQL Zeplin IOS C언어 Android jQuery DL Hadoop MsSQL Kotlin Kafka MongoDB Python Java JavaScript Vue닷js Ajax GCP ASP닷NET Slack Sketch AWS Oracle Redux JSP DB Azure Git WAS TypeScript Django Redis C샵 ML WEB Kubernetes Webpack JIRA ASP C쁠블 MySQL Swift Go Spark Rails Unity3D PostgreSQL CSS MariaDB 닷NET
1,네트워크/보안/운영,Linux Spring Docker Jenkins HTML PHP Ruby App Node닷js Data NoSQL IOS C언어 Android MsSQL Kotlin MongoDB Python Java JavaScript GCP Slack AWS Oracle JSP DB Azure Git WAS Redis C샵 WEB Kubernetes JIRA C쁠블 Go MySQL Spark Kafka ASP Swift PostgreSQL CSS MariaDB 닷NET
2,시스템엔지니어,Linux Spring Docker TensorFlow Scala PHP HTML PyTorch Jenkins AngularJS GraphQL React닷JS Ruby App Node닷js Data NoSQL Zeplin IOS C언어 Android jQuery DL Hadoop MsSQL Kotlin Illustrator MongoDB Python Java JavaScript Vue닷js Ajax GCP ASP닷NET Slack Sketch AWS Oracle Redux JSP DB Maya Azure Git WAS Redis TypeScript Django Photoshop C샵 ML WEB Kubernetes Webpack JIRA C쁠블 Go MySQL Spark Kafka ASP Swift Rails Unity3D PostgreSQL CSS MariaDB 닷NET
3,소프트웨어엔지니어,TensorFlow Spring Linux Docker Scala AngularJS HTML PyTorch PHP Jenkins GraphQL React닷JS Ruby App Node닷js Data NoSQL Zeplin IOS C언어 CV Android jQuery DL Hadoop MsSQL Kotlin MongoDB Python Java JavaScript Vue닷js Ajax GCP ASP닷NET Slack AWS Oracle Redux JSP DB Azure Git Redis TypeScript WAS Django C샵 ML WEB Kubernetes Webpack JIRA C쁠블 Spark MySQL Swift Kafka Go ASP Rails Unity3D PostgreSQL CSS MariaDB 닷NET
4,QA,Spring Linux Docker Jenkins GraphQL React닷JS Ruby App Node닷js Data Zeplin IOS C언어 Android jQuery Python Java JavaScript Slack Sketch AWS Redux DB Git TypeScript C샵 WEB Webpack JIRA C쁠블 Go
5,기획,Linux TensorFlow Docker PHP HTML PyTorch React닷JS App Node닷js Data IOS Android Illustrator Python Java JavaScript GCP Sketch AWS Oracle JSP DB Azure Git Photoshop ML WEB JIRA Go C쁠블 MySQL Spark ASP Unity3D CSS
6,데이터분석,TensorFlow Linux Docker Spring Scala PyTorch PHP HTML Jenkins React닷JS Ruby App Node닷js Data NoSQL IOS C언어 Android DL Hadoop MsSQL Kotlin MongoDB Python Java JavaScript GCP ASP닷NET Slack AWS Oracle JSP DB Maya Azure Git WAS Redis Django TypeScript ML C샵 WEB Kubernetes Spark C쁠블 Go MySQL Kafka Rails PostgreSQL CSS MariaDB
7,모바일앱개발,Spring Linux TensorFlow Docker Scala AngularJS Jenkins HTML PHP GraphQL React닷JS App Node닷js Data NoSQL Zeplin IOS C언어 Android jQuery Hadoop MsSQL Kotlin MongoDB Python Java JavaScript Vue닷js Ajax GCP ASP닷NET Slack AWS Oracle Redux JSP DB Azure Git Redis TypeScript Django WAS C샵 WEB Kubernetes Webpack JIRA C쁠블 Spark Swift Go Kafka MySQL Unity3D PostgreSQL CSS MariaDB 닷NET
8,프로젝트매니저,Spring Docker PHP HTML React닷JS Ruby App Node닷js Data Zeplin IOS C언어 Android Hadoop MsSQL Python Java JavaScript Vue닷js Slack Sketch AWS Oracle Redux JSP DB Maya Git Photoshop C샵 WEB Webpack JIRA C쁠블 Spark Swift MySQL Go Unity3D CSS 닷NET
9,게임개발,Linux Spring Scala PHP HTML Jenkins React닷JS App Node닷js Data NoSQL Zeplin IOS C언어 Android jQuery Hadoop Kotlin Illustrator Kafka MongoDB Python Java JavaScript Vue닷js Ajax GCP ASP닷NET Slack AWS DB Maya Azure Git Redis TypeScript Photoshop C샵 WEB JIRA C쁠블 ASP MySQL Go Swift Spark Unity3D CSS 닷NET
10,DBA,Spring TensorFlow Linux Docker PyTorch PHP HTML AngularJS React닷JS App Node닷js Data NoSQL C언어 jQuery DL Hadoop MsSQL MongoDB Python Java Vue닷js GCP ASP닷NET Slack AWS Oracle JSP DB Azure Git Redis TypeScript ML WEB Kubernetes JIRA Spark C쁠블 MySQL Go PostgreSQL MariaDB
11,컨설팅,WAS Linux TensorFlow Spring CSS Hadoop WEB HTML AWS Oracle App Data DB Python Kafka Java Git Android
12,하드웨어엔지니어,Spring Linux Docker HTML React닷JS Node닷js IOS C언어 Android Python Java JavaScript Slack DB Git WAS C샵 WEB JIRA C쁠블 Unity3D CSS
13,캐릭터디자인,
14,그래픽디자인,GCP Linux Photoshop Sketch C언어 WEB AWS Illustrator App C쁠블 Python Azure Zeplin IOS Maya Unity3D
15,애니메이션디자인,
16,마케팅,
17,시장조사/분석,
18,소프트웨어아키텍트,Spring Linux Docker TensorFlow Jenkins HTML PyTorch AngularJS PHP React닷JS Ruby App Node닷js Data NoSQL IOS C언어 Android DL Hadoop MsSQL Kotlin Python Java JavaScript Vue닷js GCP Slack AWS JSP DB Azure Git Redis ML C샵 WEB Kubernetes JIRA Spark Go MySQL Swift Kafka C쁠블 Rails PostgreSQL CSS MariaDB
19,웹퍼블리셔,Spring Linux Docker AngularJS HTML Jenkins PHP GraphQL React닷JS App Node닷js Data Zeplin IOS Android jQuery Illustrator Python Java JavaScript Vue닷js Ajax Sketch Slack AWS Oracle Redux JSP DB Git TypeScript Photoshop WEB Webpack JIRA Go MySQL Unity3D CSS
