index,jobId,company,title,job,region,jobUrl,total_skill,total_skill_literal,reviewCount,average,salary,wlb,culture,possibility,management
0,1181605,(주)아이패밀리에스씨,기술연구소 NodeJS 개발자,웹개발,전국,/companies/67445/job_postings/1181605/%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC%EC%86%8C-nodejs-%EA%B0%9C%EB%B0%9C%EC%9E%90/%EC%95%84%EC%9D%B4%ED%8C%A8%EB%B0%80%EB%A6%AC%EC%97%90%EC%8A%A4%EC%94%A8?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['PHP', 'MySQL', 'React닷JS', 'Node닷js']",PHP MySQL React닷JS Node닷js,231,3.0,2.0,2.0,2.0,3.0,3.0
3,1181629,디딤365(주),클라우드 및 시스템 엔지니어(청년내일채움공제 가능),"네트워크/보안/운영, 시스템엔지니어",서울,/companies/51032/job_postings/1181629/%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%B0%8F-%EC%8B%9C%EC%8A%A4%ED%85%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EC%B2%AD%EB%85%84%EB%82%B4%EC%9D%BC%EC%B1%84%EC%9B%80%EA%B3%B5%EC%A0%9C-%EA%B0%80%EB%8A%A5/%EB%94%94%EB%94%A4365?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['MySQL', 'WAS', 'NoSQL', 'Redis', 'WEB', 'PostgreSQL', 'Python', 'Linux', 'AWS', 'MongoDB', 'Docker', 'Kubernetes', 'GCP', 'Azure', 'MariaDB', 'DB', 'Node닷js']",MySQL WAS NoSQL Redis WEB PostgreSQL Python Linux AWS MongoDB Docker Kubernetes GCP Azure MariaDB DB Node닷js,18,4.0,3.0,3.0,4.0,4.0,3.0
4,1175461,패스트캠퍼스,[경력] 프론트엔드 개발자,"소프트웨어엔지니어, 시스템엔지니어, 웹개발",서울,/companies/309654/job_postings/1175461/%EA%B2%BD%EB%A0%A5-%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90/%ED%8C%A8%EC%8A%A4%ED%8A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['MySQL', 'TypeScript', 'WEB', 'JavaScript', 'GCP', 'Webpack', 'DB', 'Vue닷js', 'Node닷js']",MySQL TypeScript WEB JavaScript GCP Webpack DB Vue닷js Node닷js,170,2.0,2.0,1.0,2.0,3.0,2.0
5,1181633,(주)민병철교육그룹,민병철유폰 QA (경력 6년 이상),QA(Quality Assurance),서울,/companies/156293/job_postings/1181633/%EB%AF%BC%EB%B3%91%EC%B2%A0%EC%9C%A0%ED%8F%B0-qa-%EA%B2%BD%EB%A0%A5-6%EB%85%84-%EC%9D%B4%EC%83%81/%EB%AF%BC%EB%B3%91%EC%B2%A0%EA%B5%90%EC%9C%A1%EA%B7%B8%EB%A3%B9?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['WEB', 'JIRA']",WEB JIRA,53,2.0,2.0,2.0,2.0,3.0,2.0
6,1181665,잡플래닛 매칭서비스,대기업 계열사/합성수지 및 기타 플라스틱 물질 제조/코스피 - 울산공장 IT기획,기획,"서울, 울산",/companies/320559/job_postings/1181665/%EB%8C%80%EA%B8%B0%EC%97%85-%EA%B3%84%EC%97%B4%EC%82%AC%ED%95%A9%EC%84%B1%EC%88%98%EC%A7%80-%EB%B0%8F-%EA%B8%B0%ED%83%80-%ED%94%8C%EB%9D%BC%EC%8A%A4%ED%8B%B1-%EB%AC%BC%EC%A7%88-%EC%A0%9C%EC%A1%B0%EC%BD%94%EC%8A%A4%ED%94%BC---%EC%9A%B8%EC%82%B0%EA%B3%B5%EC%9E%A5-it%EA%B8%B0%ED%9A%8D/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD%EC%84%9C%EB%B9%84%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Oracle', 'Java', 'PHP']",Oracle Java PHP,1,5.0,4.0,2.0,5.0,4.0,5.0
7,1181888,보맵(주),[PO실] 서비스 기획자 모집,데이터분석,서울,/companies/320766/job_postings/1181888/po%EC%8B%A4-%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%ED%9A%8D%EC%9E%90-%EB%AA%A8%EC%A7%91/%EB%B3%B4%EB%A7%B5?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Slack', 'Data']",Slack Data,5,3.0,3.0,4.0,3.0,4.0,2.0
8,1181877,보맵(주),[QA팀] QA 매니저 모집,QA(Quality Assurance),서울,/companies/320766/job_postings/1181877/qa%ED%8C%80-qa-%EB%A7%A4%EB%8B%88%EC%A0%80-%EB%AA%A8%EC%A7%91/%EB%B3%B4%EB%A7%B5?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['WEB', 'JIRA', 'Android', 'IOS', 'Git']",WEB JIRA Android IOS Git,5,3.0,3.0,4.0,3.0,4.0,2.0
9,1181838,(주)민병철교육그룹,[잡플래닛 매칭] QA 시니어,QA(Quality Assurance),서울,/companies/156293/job_postings/1181838/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD-qa-%EC%8B%9C%EB%8B%88%EC%96%B4/%EB%AF%BC%EB%B3%91%EC%B2%A0%EA%B5%90%EC%9C%A1%EA%B7%B8%EB%A3%B9?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['JIRA'],JIRA,53,2.0,2.0,2.0,2.0,3.0,2.0
10,1181703,패스트파이브,프론트엔드 개발자 (React Native),"모바일앱개발, 웹개발, 프로젝트매니저",서울,/companies/313075/job_postings/1181703/%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-react-native/%ED%8C%A8%EC%8A%A4%ED%8A%B8%ED%8C%8C%EC%9D%B4%EB%B8%8C?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['React닷JS', 'IOS', 'WEB', 'App', 'Java', 'Vue닷js', 'Swift']",React닷JS IOS WEB App Java Vue닷js Swift,48,3.0,3.0,3.0,4.0,3.0,3.0
11,1181687,패스트파이브,클라이언트 개발자,"모바일앱개발, 웹개발, 프로젝트매니저",서울,/companies/313075/job_postings/1181687/%ED%81%B4%EB%9D%BC%EC%9D%B4%EC%96%B8%ED%8A%B8-%EA%B0%9C%EB%B0%9C%EC%9E%90/%ED%8C%A8%EC%8A%A4%ED%8A%B8%ED%8C%8C%EC%9D%B4%EB%B8%8C?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['React닷JS', 'IOS', 'WEB', 'Swift', 'Java', 'Vue닷js', 'App']",React닷JS IOS WEB Swift Java Vue닷js App,48,3.0,3.0,3.0,4.0,3.0,3.0
