skill,웹개발,네트워크/보안/운영,시스템엔지니어,소프트웨어엔지니어,QA,기획,데이터분석,모바일앱개발,프로젝트매니저,게임개발,DBA,컨설팅,하드웨어엔지니어,캐릭터디자인,그래픽디자인,애니메이션디자인,마케팅,시장조사/분석,소프트웨어아키텍트,웹퍼블리셔,UI/UX/GUI디자인,상품개발/기획/MD,경영기획/전략,광고/시각디자인,영상/모션디자인,영업기획/관리/지원,경영지원,ERP,일러스트레이터,웹디자인,기계,전자/반도체,제어,전기,반도체/디스플레이,전기/전자/제어,국내영업,음악/음향/사운드,IT/솔루션영업,온라인마케팅,전략마케팅,브랜드디자인,브랜드마케팅,출판/편집디자인,방송연출/PD/감독,고객지원/CS,조직문화,CRM,유지/수리/정비,기술영업,제품/산업디자인
App,62,7,34,72,12,29,9,104,14,8,3,2,0,0,5,1,2,2,8,10,37,1,3,1,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
Kubernetes,9,7,23,24,0,0,8,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hadoop,11,0,7,11,0,0,31,1,1,1,5,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PyTorch,1,0,14,18,0,1,12,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C샵,25,4,44,83,1,0,4,10,1,19,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TypeScript,48,0,21,39,1,0,1,13,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MongoDB,11,2,9,17,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unity3D,2,0,16,7,0,7,0,5,1,29,0,0,1,1,11,3,0,0,0,1,11,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Swift,12,2,14,20,0,0,0,51,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scala,5,0,3,14,0,0,21,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TensorFlow,4,0,16,24,0,1,15,1,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring,101,9,53,88,1,0,5,21,2,1,5,1,4,0,0,0,0,0,12,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jenkins,6,2,10,13,2,0,1,5,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NoSQL,20,3,25,28,0,0,12,9,0,2,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MySQL,82,8,55,62,0,1,11,9,2,3,10,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java,165,16,136,230,3,4,25,61,14,14,11,1,6,0,0,0,0,0,19,5,4,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Linux,53,20,84,104,1,2,18,10,0,6,5,1,8,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Docker,23,6,36,35,1,1,9,2,3,0,1,0,1,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET,15,3,12,39,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redux,14,0,12,16,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPNET,15,0,6,18,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHP,53,2,19,29,0,4,2,3,2,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CSS,83,1,35,59,0,4,1,12,1,3,0,1,1,0,0,0,0,0,2,30,11,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
AWS,91,20,74,86,1,5,25,19,6,13,16,1,0,0,1,1,0,0,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Android,27,4,33,47,19,4,4,74,5,11,0,1,1,0,0,0,0,0,4,5,11,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,12,9,9,8,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MariaDB,12,3,10,9,0,0,1,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MsSQL,24,2,23,33,0,0,7,3,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PostgreSQL,11,1,7,16,0,0,4,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Django,11,0,10,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python,51,13,78,102,5,10,76,15,6,12,13,2,1,0,8,1,1,0,9,2,1,0,1,0,0,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HTML,90,2,43,71,0,4,2,15,1,5,1,1,1,0,0,0,0,0,3,30,12,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Spark,8,1,7,15,0,1,33,2,1,1,7,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JSP,41,3,17,42,0,1,1,7,1,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JIRA,8,3,19,21,17,1,0,4,3,1,1,0,4,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jQuery,55,0,14,32,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Go,13,5,23,20,1,1,5,4,2,3,4,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C언어,16,8,72,117,1,0,5,13,4,22,2,0,5,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,7,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kotlin,12,1,16,27,0,0,4,34,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby,8,1,16,16,1,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCP,11,5,15,24,0,1,12,2,0,2,4,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data,13,4,25,33,2,3,75,3,13,3,5,2,0,0,0,0,0,0,5,1,5,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
IOS,31,4,40,44,18,5,3,85,8,19,0,0,1,0,1,0,0,0,4,5,14,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C쁠쁠,22,9,90,157,3,2,7,10,2,37,3,0,3,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,2,9,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rails,7,0,8,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webpack,21,0,6,13,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
